,Numpy Array no BE,Numpy Array BE,Torch Tensor no BE,Torch Tensor BE,Torch Tensor GPU no BE,Torch Tensor GPU BE
add_band_noise,,1.419,,0.133,,0.046
add_eeg_artifact,1.595,1.724,1.76,0.396,1.119,0.058
add_gaussian_noise,,7.395,,1.68,,0.007
add_noise_SNR,,7.695,,1.938,,1.344
change_ref,,0.767,,0.729,,0.498
channel_dropout,0.779,0.363,0.455,0.028,0.502,0.007
crop_and_resize,11.479,17.503,15.851,3.434,10.389,0.2
filter_bandpass,,4.716,,5.786,,1.035
filter_bandstop,,4.793,,5.93,,0.166
filter_highpass,,3.431,,5.961,,0.107
filter_lowpass,,4.365,,6.036,,0.115
flip_horizontal,,0.0,,0.022,,0.001
flip_vertical,,0.358,,0.023,,0.001
masking,0.815,0.548,0.495,0.039,0.432,0.006
moving_avg,,3.066,,2.661,,0.009
permutation_signal,1.055,1.305,0.951,0.242,0.599,0.008
permute_channels_network,4.667,0.954,6.435,0.157,4.698,0.072
permute_channels,0.905,0.877,1.237,0.075,1.148,0.016
random_FT_phase,4.014,4.963,2.819,0.485,1.272,0.026
random_slope_scale,3.849,2.251,1.783,0.2,0.012,0.009
scaling,0.562,0.56,0.046,0.046,0.002,0.002
shift_frequency,5.155,7.262,3.173,0.757,0.692,0.029
shift_horizontal,0.797,0.787,0.389,0.056,0.279,0.004
shift_vertical,,0.712,,0.061,,0.002
warp_signal,25.965,43.759,35.951,7.205,23.263,0.467
